month,densitybin,agebin,count_asex,bin_total_asex,asexual_par_dens_freq,count_gamet,bin_total_gamet,gametocyte_dens_freq,Site
7,0,5,1,8,0.125,0,9,0,Dapelogo_2007
7,50,5,0,8,0,1,9,0.111111111,Dapelogo_2007
7,500,5,0,8,0,4,9,0.444444444,Dapelogo_2007
7,5000,5,2,8,0.25,2,9,0.222222222,Dapelogo_2007
7,50000,5,2,8,0.25,2,9,0.222222222,Dapelogo_2007
7,5000000,5,3,8,0.375,0,9,0,Dapelogo_2007
7,0,15,2,9,0.222222222,0,11,0,Dapelogo_2007
7,50,15,1,9,0.111111111,1,11,0.090909091,Dapelogo_2007
7,500,15,0,9,0,4,11,0.363636364,Dapelogo_2007
7,5000,15,2,9,0.222222222,6,11,0.545454545,Dapelogo_2007
7,50000,15,0,9,0,0,11,0,Dapelogo_2007
7,5000000,15,4,9,0.444444444,0,11,0,Dapelogo_2007
7,0,80,9,27,0.333333333,12,27,0.444444444,Dapelogo_2007
7,50,80,5,27,0.185185185,8,27,0.296296296,Dapelogo_2007
7,500,80,4,27,0.148148148,3,27,0.111111111,Dapelogo_2007
7,5000,80,4,27,0.148148148,4,27,0.148148148,Dapelogo_2007
7,50000,80,2,27,0.074074074,0,27,0,Dapelogo_2007
7,5000000,80,3,27,0.111111111,0,27,0,Dapelogo_2007
9,0,5,1,8,0.125,1,8,0.125,Dapelogo_2007
9,50,5,2,8,0.25,3,8,0.375,Dapelogo_2007
9,500,5,0,8,0,2,8,0.25,Dapelogo_2007
9,5000,5,1,8,0.125,2,8,0.25,Dapelogo_2007
9,50000,5,3,8,0.375,0,8,0,Dapelogo_2007
9,5000000,5,1,8,0.125,0,8,0,Dapelogo_2007
9,0,15,2,14,0.142857143,0,11,0,Dapelogo_2007
9,50,15,5,14,0.357142857,8,11,0.727272727,Dapelogo_2007
9,500,15,2,14,0.142857143,0,11,0,Dapelogo_2007
9,5000,15,3,14,0.214285714,3,11,0.272727273,Dapelogo_2007
9,50000,15,1,14,0.071428571,0,11,0,Dapelogo_2007
9,5000000,15,1,14,0.071428571,0,11,0,Dapelogo_2007
9,0,80,6,24,0.25,11,25,0.44,Dapelogo_2007
9,50,80,8,24,0.333333333,10,25,0.4,Dapelogo_2007
9,500,80,4,24,0.166666667,2,25,0.08,Dapelogo_2007
9,5000,80,4,24,0.166666667,2,25,0.08,Dapelogo_2007
9,50000,80,0,24,0,0,25,0,Dapelogo_2007
9,5000000,80,2,24,0.083333333,0,25,0,Dapelogo_2007
1,0,5,1,10,0.1,2,10,0.2,Dapelogo_2007
1,50,5,1,10,0.1,3,10,0.3,Dapelogo_2007
1,500,5,0,10,0,2,10,0.2,Dapelogo_2007
1,5000,5,4,10,0.4,2,10,0.2,Dapelogo_2007
1,50000,5,3,10,0.3,1,10,0.1,Dapelogo_2007
1,5000000,5,1,10,0.1,0,10,0,Dapelogo_2007
1,0,15,4,14,0.285714286,2,14,0.142857143,Dapelogo_2007
1,50,15,1,14,0.071428571,5,14,0.357142857,Dapelogo_2007
1,500,15,2,14,0.142857143,4,14,0.285714286,Dapelogo_2007
1,5000,15,4,14,0.285714286,2,14,0.142857143,Dapelogo_2007
1,50000,15,2,14,0.142857143,1,14,0.071428571,Dapelogo_2007
1,5000000,15,1,14,0.071428571,0,14,0,Dapelogo_2007
1,0,80,6,25,0.24,14,25,0.56,Dapelogo_2007
1,50,80,9,25,0.36,7,25,0.28,Dapelogo_2007
1,500,80,6,25,0.24,4,25,0.16,Dapelogo_2007
1,5000,80,2,25,0.08,0,25,0,Dapelogo_2007
1,50000,80,2,25,0.08,0,25,0,Dapelogo_2007
1,5000000,80,0,25,0,0,25,0,Dapelogo_2007
