"","site_month","loglike_asex","benchmark_loglike_asex","loglike_gamet","benchmark_loglike_gamet"
"1","dapelogo_2007_month1",-51.0072891607572,-51.0299897189928,-Inf,-Inf
"2","dapelogo_2007_month7",-70.5242210000337,-70.5010338439552,-Inf,-Inf
"3","dapelogo_2007_month9",-55.7952894932142,-55.8821864531783,-43.3042021524025,-43.3922870897757
"4","laye_2007_month1",-37.2352517419991,-37.2638441115855,-25.4211863467663,-25.4534108715196
"5","laye_2007_month7",-63.2078384042811,-63.2633725641579,-74.6978923601846,-74.7727191277537
"6","laye_2007_month9",-85.9354876181554,-85.979363506597,-Inf,-Inf
"7","matsari_1970_month10",-925.213165835228,-923.279465974606,-1214.35268938958,-1209.5500484636
"8","matsari_1970_month2",-388.565864731465,-388.714001302739,-1126.50675406092,-1125.51365143192
"9","matsari_1970_month7",-622.612333001967,-622.832735498924,-647.031073962426,-647.161474690202
"10","rafin_marke_1970_month10",-554.732764144691,-555.600629721637,-876.754357496309,-875.907552936092
"11","rafin_marke_1970_month2",-151.388731193408,-150.959057907245,-239.028962683603,-239.138032096872
"12","rafin_marke_1970_month7",-646.340343236421,-646.244051919573,-661.756709133005,-661.447032971289
"13","sugungum_1970_month10",-1513.5441864504,-1511.98352893083,-2254.25051452153,-2256.45464715117
"14","sugungum_1970_month2",-547.656061370247,-547.513150720516,-1327.1606844138,-1329.60347754223
"15","sugungum_1970_month7",-1105.65740152686,-1105.66554648878,-982.891517144049,-983.21480983881
