site_month,loglike_asex,loglike_gamet,benchmark_loglike_gamet
matsari_1970_month2,-388.565864731464,-1126.5067540609252,-1126.5067540609252
matsari_1970_month7,-622.6123330019673,,
matsari_1970_month10,-925.2131658352293,,
rafin_marke_1970_month2,-151.38873119340678,,
rafin_marke_1970_month7,-646.3403432364206,,
rafin_marke_1970_month10,-554.7327641446915,,
sugungum_1970_month2,-547.6560613702472,-1327.1606844138018,-1327.1606844138018
sugungum_1970_month7,-1105.657401526858,,
sugungum_1970_month10,-1513.5441864503998,,
laye_2007_month7,-63.207838404282946,,
laye_2007_month9,-85.93548761815535,-inf,-inf
laye_2007_month1,-37.235251741999136,,
dapelogo_2007_month7,-70.52422100002975,-inf,-inf
dapelogo_2007_month9,-55.7952894932207,,
dapelogo_2007_month1,-51.00728916075726,,
