"site_month","loglikelihood_new_sim","loglikelihood_benchmark_sim"
"dielmo_1990_monthmultiple",-Inf,-Inf
"dongubougou_1999_monthmultiple",-84.2610305190167,-84.2610305190167
"ebolakounou_1997_monthmultiple",-1363.0296306907,-1363.0296306907
"koundou_1997_monthmultiple",-1245.54037633808,-1245.54037633808
"matsari_1970_month10",-50.6625995433264,-50.6625995433264
"matsari_1970_month2",-263.258047602821,-263.258047602821
"matsari_1970_month7",-67.3329284641019,-67.3329284641019
"ndiop_1993_monthmultiple",NA,NA
"rafin_marke_1970_month10",-29.3871065392157,-29.3871065392157
"rafin_marke_1970_month2",-145.895199050604,-145.895199050604
"rafin_marke_1970_month7",-63.7884217486177,-63.7884217486177
"sotuba_1999_monthmultiple",-272.370152469438,-272.370152469438
"sugungum_1970_month10",-152.749466850097,-152.749466850097
"sugungum_1970_month2",-335.019030473857,-335.019030473857
"sugungum_1970_month7",-31.5044635705056,-31.5044635705056
