age_bin_set2,age_bin_set3,age_bin_set4,age_bin_set5,age_bin_set6,age_bin_set7,age_bin_set8,age_bin_set9,age_bin_set10,age_bin_set11,age_bin_set12,age_bin_set13,age_bin_set14,age_bin_set15
1,1,1,1,4,1,1,5,5,5,1,1,1,5
2,2,2,2,9,2,5,10,15,15,2,4,2,10
3,3,3,4,14,9,10,15,80,30,3,9,4,15
4,4,4,9,29,14,15,20,,50,4,14,9,85
5,5,5,14,44,20,85,,,76,5,19,14,
6,6,6,19,85,85,,,,,10,39,19,
7,7,7,39,,,,,,,,85,39,
8,8,8,59,,,,,,,,,59,
9,9,9,85,,,,,,,,,85,
10,10,10,,,,,,,,,,,
11,11,11,,,,,,,,,,,
14,15,12,,,,,,,,,,,
19,19,13,,,,,,,,,,,
39,30,14,,,,,,,,,,,
59,40,15,,,,,,,,,,,
85,85,20,,,,,,,,,,,
,,25,,,,,,,,,,,
,,30,,,,,,,,,,,
,,40,,,,,,,,,,,
,,50,,,,,,,,,,,
,,60,,,,,,,,,,,
,,85,,,,,,,,,,,
